xikin nan pvtaq ,abacus
bvdo-gangko,abaddon
ludumnam ,abandon
hvnyw ,abashed
anyo nyiolnam ,abate
nywxw nyol naama bo nyub tulu ,abbey
apaqkunam ,abdicate
neqp ,abdomen
nyum boonam ,abduct
pwql kegnam ,abduct
nyij muj luusaqnam ,aberration
bon nyimurnam ,abet
vcjaqb hang baqnam ,abhor
guugabnam ,abide
nyilaq belaqnam ,ability
Tom poory riiyum kunum ,Tom graduated 
Tom lagub haas ak donum ,Tom had a cat 
Tom legub iky ak donum ,Tom had a dog 
Tom legub mubuk ak donum ,Tom had a gun 
Tom gv ko nyega ak donum ,Tom had a son 
Tom wnkub nyinum ,Tom had to go 
Tom lagub gaari ak doden ,Tom has a car 
Tom legub iky ak doden ,Tom has a dog 
Tom legub mubuk ak doden  ,Tom has a gun 
Tom legub bpn nyis nge doden ,Tom has a job 
Tom gv ko nyega ak doden ,Tom has a son 
Tom aob swca paku ,Tom has grown 
Tom gv twnk doden ,Tom has money 
Tom gv pwr-rwnam nge doden ,Tom has plans 
Tom wdkub nyiknum ,Tom has to go 
Tom ngulam svka num ,Tom helped us 
Tom heneynum ,Tom hesitated 
Tom ngam cigab num ,Tom hugged me 
Tom hem anyio nge ,Tom is a baby 
Tom dvco bonge ,Tom is a chef 
Tom vcin mwn bonge ,Tom is a cook 
Tom pacca bonge ,Tom is a fool 
Tom xilo-malo nge ,Tom is a hero 
Tom ado nyok ho doden ,Tom is abroad 
Tom domapa ,Tom is absent 
Tom bos paku ,Tom is afraid 
Tom yubpaku ,Tom is asleep 
Tom alyapa ,Tom is better 
Tom mwwsw bogo ,Tom is biased 
Tom jamapa ,Tom is boring 
Tom hangcub bonge ,Tom is clever 
Tom haldodo ,Tom is coming 
Tom xabl dodo ,Tom is crying 
Tom yubtab tabl dodo ,Tom is dozing 
Tom vmiq nge ,Tom is family 
Tom xilo-malo nyinden ,Tom is heroic 
Tom kvssil dodo ,Tom is hiding 
Tom wm-xilo maden ,Tom is honest 
Tom somin dodo ,Tom is joking 
